REF_DATE,GEO,DGUID,Age group,Sex,Income source,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMAL
2000,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,23892,A,,,0
2001,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,24207,A,,,0
2002,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,24517,A,,,0
2003,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,24848,A,,,0
2004,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,25179,A,,,0
2005,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,25583,A,,,0
2006,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,25822,A,,,0
2007,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,26195,A,,,0
2008,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,26590,A,,,0
2009,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,26941,A,,,0
2010,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,27371,A,,,0
2011,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,27708,A,,,0
2012,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,27982,A,,,0
2013,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,28377,A,,,0
2014,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,28524,C,,,0
2015,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,28829,A,,,0
2016,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,29166,A,,,0
2017,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,29601,A,,,0
2018,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,30022,A,,,0
2019,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,30517,A,,,0
2020,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number of persons,Number,223,thousands,3,v107660854,1.1.1.1.1,30730,A,,,0
2000,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,23006,A,,,0
2001,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,23323,A,,,0
2002,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,23765,A,,,0
2003,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,24044,A,,,0
2004,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,24400,A,,,0
2005,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,24872,A,,,0
2006,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,25151,A,,,0
2007,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,25562,A,,,0
2008,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,26038,A,,,0
2009,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,26227,A,,,0
2010,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,26589,A,,,0
2011,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,26905,A,,,0
2012,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,27257,A,,,0
2013,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,27568,A,,,0
2014,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,27902,C,,,0
2015,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,28148,A,,,0
2016,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,28437,A,,,0
2017,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,28935,A,,,0
2018,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,29475,A,,,0
2019,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,29867,A,,,0
2020,Canada,2016A000011124,16 years and over,Both sexes,Total income,Number with income,Number,223,thousands,3,v107660855,1.1.1.1.2,30322,A,,,0
2000,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,965832,A,,,0
2001,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,995616,A,,,0
2002,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1011876,A,,,0
2003,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1020489,A,,,0
2004,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1053736,A,,,0
2005,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1081155,A,,,0
2006,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1101258,A,,,0
2007,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1150052,A,,,0
2008,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1183860,A,,,0
2009,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1188813,A,,,0
2010,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1208192,A,,,0
2011,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1229045,A,,,0
2012,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1269847,A,,,0
2013,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1305709,A,,,0
2014,Canada,2016A000011124,16 years and over,Both sexes,Total income,Aggregate income,2020 constant dollars,425,millions,6,v107660856,1.1.1.1.3,1334790,C,,,0
